book_score,book_name,book_detail
8.5,"
        海底两万里
      ","<div class=""abstract"">
      
          作者: [法国] 儒尔·凡尔纳
            <br>
          出版社: 译林出版社
            <br>
          出版年: 2002-9
    </div>"
8.2,"
        红与黑
      ","<div class=""abstract"">
      
          作者: [法] 司汤达
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 2002
    </div>"
8.2,"
        茶花女
      ","<div class=""abstract"">
      
          作者: 小仲马
            <br>
          出版社: 外国文学出版社
            <br>
          出版年: 1997-3
    </div>"
8.2,"
        羊脂球
      ","<div class=""abstract"">
      
          作者: （法）莫泊桑
            <br>
          出版社: 北京燕山出版社
            <br>
          出版年: 2007-6
    </div>"
8.4,"
        呼啸山庄
      ","<div class=""abstract"">
      
          作者: （英）勃朗特 / 张玲 / 张扬
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1999-01-01
    </div>"
8.4,"
        巴黎圣母院
      ","<div class=""abstract"">
      
          作者: [法]雨果
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1982-6
    </div>"
8.5,"
        简爱（英文全本）
      ","<div class=""abstract"">
      
          作者: [英] 夏洛蒂·勃朗特
            <br>
          出版社: 世界图书出版公司
            <br>
          出版年: 2003-11
    </div>"
8.1,"
        鲁滨逊漂流记
      ","<div class=""abstract"">
      
          作者: [英] 笛福
            <br>
          出版社: 广西民族出版社
            <br>
          出版年: 2002-1
    </div>"
9.6,"
        飘
      ","<div class=""abstract"">
      
          作者: 米切尔
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1990-8
    </div>"
9.5,"
        基督山伯爵（上下）
      ","<div class=""abstract"">
      
          作者: 大仲马
            <br>
          出版社: 中国对外翻译出版公司
            <br>
          出版年: 1999
    </div>"
8.1,"
        丝路朝圣
      ","<div class=""abstract"">
      
          作者: 王邦维
            <br>
          出版社: 中华书局
            <br>
          出版年: 2019-1
    </div>"
8.4,"
        消失的地平线
      ","<div class=""abstract"">
      
          出版年: 2012-7
    </div>"
8.7,"
        黑客与画家
      ","<div class=""abstract"">
      
          作者: [美] Paul Graham
            <br>
          出版社: 人民邮电出版社
            <br>
          出版年: 2011-4
    </div>"
8.8,"
        爱的艺术
      ","<div class=""abstract"">
      
          作者: [美] 艾·弗洛姆
            <br>
          出版社: 上海译文出版社
            <br>
          出版年: 2008-4
    </div>"
8.9,"
        白鹿原
      ","<div class=""abstract"">
      
          作者: 陈忠实
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1997-12
    </div>"
8.8,"
        万水千山走遍
      ","<div class=""abstract"">
      
          作者: 三毛
            <br>
          出版社: 哈尔滨出版社
            <br>
          出版年: 2003-08
    </div>"
8.8,"
        万物有灵且美
      ","<div class=""abstract"">
      
          作者: [英] 吉米·哈利
            <br>
          出版社: 中国城市出版社
            <br>
          出版年: 2010-1
    </div>"
8.8,"
        不能承受的生命之轻
      ","<div class=""abstract"">
      
          作者: 米兰·昆德拉
            <br>
          出版社: 上海译文出版社
            <br>
          出版年: 2010-8
    </div>"
8.8,"
        时间简史
      ","<div class=""abstract"">
      
          作者: [英] 史蒂芬·霍金
            <br>
          出版社: 湖南科学技术出版社
            <br>
          出版年: 2010-4
    </div>"
8.7,"
        孩子你慢慢来
      ","<div class=""abstract"">
      
          作者: 龙应台
            <br>
          出版社: 生活·读书·新知三联书店
            <br>
          出版年: 2009-12-1
    </div>"
8.8,"
        一只特立独行的猪
      ","<div class=""abstract"">
      
          作者: 王小波
            <br>
          出版社: 北方文艺出版社
            <br>
          出版年: 2006-4
    </div>"
8.8,"
        梦里花落知多少
      ","<div class=""abstract"">
      
          作者: 三毛
            <br>
          出版社: 北京十月文艺出版社
            <br>
          出版年: 2007-6
    </div>"
8.8,"
        看不见的城市
      ","<div class=""abstract"">
      
          作者: [意大利]伊塔洛·卡尔维诺
            <br>
          出版社: 译林出版社
            <br>
          出版年: 2006-8
    </div>"
8.8,"
        爱你就像爱生命
      ","<div class=""abstract"">
      
          作者: 王小波 / 李银河
            <br>
          出版社: 上海锦绣文章出版社
            <br>
          出版年: 2008-5
    </div>"
8.9,"
        呐喊
      ","<div class=""abstract"">
      
          作者: 鲁迅
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1973年3月
    </div>"
8.9,"
        黄金时代
      ","<div class=""abstract"">
      
          作者: 王小波
            <br>
          出版社: 陕西师范大学出版社
            <br>
          出版年: 2009-07-01
    </div>"
8.9,"
        追风筝的人
      ","<div class=""abstract"">
      
          作者: [美] 卡勒德·胡赛尼
            <br>
          出版社: 上海人民出版社
            <br>
          出版年: 2006-5
    </div>"
8.8,"
        看见
      ","<div class=""abstract"">
      
          作者: 柴静
            <br>
          出版社: 广西师范大学出版社
            <br>
          出版年: 2013-1-1
    </div>"
8.9,"
        全球通史（第7版 上册）
      ","<div class=""abstract"">
      
          作者: [美] 斯塔夫里阿诺斯
            <br>
          出版社: 北京大学出版社
            <br>
          出版年: 2005-1
    </div>"
8.9,"
        野火集
      ","<div class=""abstract"">
      
          作者: 龙应台
            <br>
          出版社: 生活·读书·新知三联书店
            <br>
          出版年: 2010-1-5
    </div>"
8.8,"
        浮生六记
      ","<div class=""abstract"">
      
          作者: （清）沈复
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1999-1
    </div>"
8.8,"
        激荡三十年（下）
      ","<div class=""abstract"">
      
          作者: 吴晓波
            <br>
          出版社: 中信出版社 浙江人民出版社
            <br>
          出版年: 2008-1
    </div>"
9.0,"
        城南旧事
      ","<div class=""abstract"">
      
          作者: 林海音 文 / 关维兴 图
            <br>
          出版社: 中国青年出版社
            <br>
          出版年: 2003-7
    </div>"
9.0,"
        悲惨世界（上中下）
      ","<div class=""abstract"">
      
          作者: [法] 雨果
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1992-6
    </div>"
9.0,"
        格林童话全集
      ","<div class=""abstract"">
      
          作者: [德国]格林兄弟
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1994-11
    </div>"
8.9,"
        哭泣的骆驼
      ","<div class=""abstract"">
      
          作者: 三毛
            <br>
          出版社: 哈尔滨出版社
            <br>
          出版年: 2003-6
    </div>"
8.9,"
        无人生还
      ","<div class=""abstract"">
      
          作者: [英] 阿加莎・克里斯蒂
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 2008-3
    </div>"
9.0,"
        基督山伯爵
      ","<div class=""abstract"">
      
          作者: 大仲马
            <br>
          出版社: 上海译文出版社
            <br>
          出版年: 1991-12-1
    </div>"
9.0,"
        人生的枷锁
      ","<div class=""abstract"">
      
          作者: [英] 毛姆
            <br>
          出版社: 上海译文出版社
            <br>
          出版年: 2007-3
    </div>"
9.0,"
        万历十五年
      ","<div class=""abstract"">
      
          作者: [美] 黄仁宇
            <br>
          出版社: 中华书局
            <br>
          出版年: 2006-8
    </div>"
9.0,"
        圣经
      ","<div class=""abstract"">
      
          出版社: 中国基督教协会
            <br>
          出版年: 1996
    </div>"
9.0,"
        人间词话
      ","<div class=""abstract"">
      
          作者: 王国维
            <br>
          出版社: 上海古籍出版社
            <br>
          出版年: 1998-12-01
    </div>"
9.1,"
        我与地坛
      ","<div class=""abstract"">
      
          作者: 史铁生
            <br>
          出版社: 春风文艺出版社
            <br>
          出版年: 2002-5
    </div>"
9.0,"
        局外人
      ","<div class=""abstract"">
      
          作者: [法] 阿尔贝·加缪
            <br>
          出版社: 上海译文出版社
            <br>
          出版年: 2010-8
    </div>"
9.1,"
        我的精神家园
      ","<div class=""abstract"">
      
          作者: 王小波
            <br>
          出版社: 文化艺术出版社
            <br>
          出版年: 1997
    </div>"
9.0,"
        江城
      ","<div class=""abstract"">
      
          作者: [美] 彼得·海斯勒
            <br>
          出版社: 上海译文出版社
            <br>
          出版年: 2012-1
    </div>"
9.0,"
        星空
      ","<div class=""abstract"">
      
          作者: 幾米
            <br>
          出版社: 大塊文化
            <br>
          出版年: 2009-5-1
    </div>"
9.0,"
        刀锋
      ","<div class=""abstract"">
      
          作者: [英]毛姆
            <br>
          出版社: 上海译文出版社
            <br>
          出版年: 2007-3
    </div>"
9.0,"
        傲慢与偏见
      ","<div class=""abstract"">
      
          作者: [英] 奥斯丁
            <br>
          出版社: 上海译文出版社
            <br>
          出版年: 1996-12
    </div>"
9.0,"
        历史深处的忧虑
      ","<div class=""abstract"">
      
          作者: 林达
            <br>
          出版社: 生活·读书·新知三联书店
            <br>
          出版年: 1997-5
    </div>"
9.0,"
        寻路中国
      ","<div class=""abstract"">
      
          作者: [美] 彼得·海斯勒
            <br>
          出版社: 上海译文出版社
            <br>
          出版年: 2011-1
    </div>"
9.0,"
        嫌疑人X的献身
      ","<div class=""abstract"">
      
          作者: [日] 东野圭吾
            <br>
          出版社: 南海出版公司
            <br>
          出版年: 2010-1
    </div>"
9.1,"
        沉默的大多数
      ","<div class=""abstract"">
      
          作者: 王小波
            <br>
          出版社: 中国青年出版社
            <br>
          出版年: 1997-10
    </div>"
9.0,"
        霍乱时期的爱情
      ","<div class=""abstract"">
      
          作者: [哥伦比亚] 加西亚·马尔克斯
            <br>
          出版社: 南海出版公司
            <br>
          出版年: 2012-9-1
    </div>"
9.2,"
        夹边沟记事
      ","<div class=""abstract"">
      
          作者: 杨显惠
            <br>
          出版社: 花城出版社
            <br>
          出版年: 2008-09
    </div>"
9.1,"
        王尔德童话
      ","<div class=""abstract"">
      
          作者: [英] 王尔德
            <br>
          出版社: 译林出版社
            <br>
          出版年: 2003-6
    </div>"
9.2,"
        围城
      ","<div class=""abstract"">
      
          作者: 钱锺书
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 2007-8
    </div>"
9.2,"
        中国历代政治得失
      ","<div class=""abstract"">
      
          作者: 钱穆
            <br>
          出版社: 生活·读书·新知三联书店
            <br>
          出版年: 2001
    </div>"
9.2,"
        父与子全集
      ","<div class=""abstract"">
      
          作者: [德] 埃·奥·卜劳恩 绘
            <br>
          出版社: 中国工人出版社
            <br>
          出版年: 2003-4
    </div>"
9.2,"
        安徒生童话故事集
      ","<div class=""abstract"">
      
          作者: （丹麦）安徒生
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1997-08
    </div>"
9.2,"
        小王子
      ","<div class=""abstract"">
      
          作者: （法）圣埃克苏佩里
            <br>
          出版社: 中国友谊出版公司
            <br>
          出版年: 2000-9
    </div>"
9.2,"
        上帝掷骰子吗
      ","<div class=""abstract"">
      
          作者: 曹天元
            <br>
          出版社: 辽宁教育出版社
            <br>
          出版年: 2006-1
    </div>"
9.1,"
        平凡的世界（全三册）
      ","<div class=""abstract"">
      
          作者: 路遥
            <br>
          出版社: 北京十月文艺出版社
            <br>
          出版年: 2009-1
    </div>"
9.1,"
        文学回忆录（全2册）
      ","<div class=""abstract"">
      
          作者: 木心 口述 / 陈丹青 笔录
            <br>
          出版社: 广西师范大学出版社
            <br>
          出版年: 2013-1-10
    </div>"
9.2,"
        明朝那些事儿
      ","<div class=""abstract"">
      
          作者: 当年明月
            <br>
          出版社: 浙江人民出版社
            <br>
          出版年: 2011-12-1
    </div>"
9.2,"
        滚蛋吧!肿瘤君
      ","<div class=""abstract"">
      
          作者: 熊顿
            <br>
          出版社: 北京理工大学出版社
            <br>
          出版年: 2012-9-1
    </div>"
9.1,"
        月亮和六便士
      ","<div class=""abstract"">
      
          作者: [英] 毛姆
            <br>
          出版社: 上海译文出版社
            <br>
          出版年: 2009-10
    </div>"
9.1,"
        白夜行
      ","<div class=""abstract"">
      
          作者: [日] 东野圭吾
            <br>
          出版社: 南海出版公司
            <br>
          出版年: 2013-1-1
    </div>"
9.3,"
        三国演义（全二册）
      ","<div class=""abstract"">
      
          作者: [明] 罗贯中
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1998-05
    </div>"
9.3,"
        三体Ⅱ
      ","<div class=""abstract"">
      
          作者: 刘慈欣
            <br>
          出版社: 重庆出版社
            <br>
          出版年: 2008-5
    </div>"
9.2,"
        百年孤独
      ","<div class=""abstract"">
      
          作者: [哥伦比亚] 加西亚·马尔克斯
            <br>
          出版社: 南海出版公司
            <br>
          出版年: 2011-6
    </div>"
9.1,"
        人类简史
      ","<div class=""abstract"">
      
          作者: [以色列] 尤瓦尔·赫拉利
            <br>
          出版社: 中信出版社
            <br>
          出版年: 2014-11
    </div>"
9.3,"
        动物庄园
      ","<div class=""abstract"">
      
          作者: 乔治•奥威尔 (George Orwell)
            <br>
          出版社: 上海三联书店
            <br>
          出版年: 2009-6-1
    </div>"
9.3,"
        撒哈拉的故事
      ","<div class=""abstract"">
      
          作者: 三毛
            <br>
          出版社: 北京十月文艺出版社
            <br>
          出版年: 2011-1-7
    </div>"
9.4,"
        活着
      ","<div class=""abstract"">
      
          作者: 余华
            <br>
          出版社: 作家出版社
            <br>
          出版年: 2012-8-1
    </div>"
9.3,"
        飘
      ","<div class=""abstract"">
      
          作者: [美国] 玛格丽特·米切尔
            <br>
          出版社: 译林出版社
            <br>
          出版年: 2000-9
    </div>"
9.4,"
        1984
      ","<div class=""abstract"">
      
          作者: [英] 乔治·奥威尔
            <br>
          出版社: 万卷出版公司
            <br>
          出版年: 2010-10
    </div>"
9.6,"
        红楼梦
      ","<div class=""abstract"">
      
          作者: [清] 曹雪芹 著 / 高鹗 续
            <br>
          出版社: 人民文学出版社
            <br>
          出版年: 1996-12
    </div>"
9.5,"
        史记（全十册）
      ","<div class=""abstract"">
      
          作者: 司马迁 / 张守节
            <br>
          出版社: 中华书局
            <br>
          出版年: 1982-11
    </div>"
